Sum of the Beijing and Shanghai ETS Caps","Cap (previous year) - Cap (current year)
Cap = sum of Beijing and Shanghai caps","Max(5x trailing 6mo average price + USD 7,058) for Beijing,
(1x allowance price + USD 14,116) for Shanghai)",Names of the CCP Chairman between the dates they served,Assigned as 0.5 as the CCP is considered a centrist party,Backfilled from annual reported to daily frequency,Backfilled from quarterly reported to daily frequency,"The values from WBOpen Dat and Statista (for 2023, and quarterly) have been considered ahead of the value computed as GDP/Population, because only work force is considered in GDP per capita estimate",Backfilled from annual reported values,"1 if GDP decreases for three consecutive prior quarters, 0 otherwise",If there was any other prevailing carbon taxes in China during the period of the permit regulation,"Beijing’s air quality is typically the most reported climate hazard in China (as air quality is linked to extreme temperatures), and is hence used as a proxy for extreme climate events.  ",Backfilled from available values,Backfilled from available values
Date,Allowance price,Beijing ETS Allowance price,Shanghai ETS Allowance price,Compliance Period Identifier Bejijing,Compliance Period Identifier Shanghai,Compliance Period Identifier,Compliance Period Identifier (Encoded),Market Stability Action,Number of new free allowances Introduced,Number of new auctioned allowances,Weighted average sectoral abatement difficulty,Traded Volume,Cap Beijing,Cap Shanghai,Cap,Annual Cap Reduction,Penalty for Non-Compliance,Regime name,Regime type,Population,GDP,GDP/Capita,Inflation,Recession Indicator,Other Carbon tax,Beijing Air Quality Index,Average Global Temperature Anomaly in Celsius,Cumulative VCM market surplus by sector (Issuance minus retirement) tCO2e
2020-01-13,3.19,12.21,6.38,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-14,3.50,12.21,7.00,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-15,2.73,12.21,5.47,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-16,2.73,12.21,5.47,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-17,2.73,12.21,5.47,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-18,2.73,12.21,5.47,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-19,2.73,12.21,5.47,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-20,2.68,12.21,5.37,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-21,2.68,12.21,5.37,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-22,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-23,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-24,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-25,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-26,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-27,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-28,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-29,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-30,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,132.53
2020-01-31,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.16,142.55
2020-02-01,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-02,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-03,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-04,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-05,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-06,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-07,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-08,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-09,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-10,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-11,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-12,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-13,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-14,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-15,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-16,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-17,2.53,12.21,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-18,6.04,12.07,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-19,6.04,12.07,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-20,6.04,12.07,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-21,6.04,12.07,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-22,6.04,12.07,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-23,6.04,12.07,5.06,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-24,2.25,12.07,4.51,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-25,2.25,12.07,4.51,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-26,2.48,12.07,4.96,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-27,2.73,12.07,5.45,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-28,3.00,12.07,6.00,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-02-29,3.00,12.07,6.00,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.21,142.55
2020-03-01,3.00,12.07,6.00,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,142.55
2020-03-02,3.00,12.07,6.00,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-03,3.29,12.07,6.58,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-04,3.56,12.07,7.11,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-05,3.56,12.07,7.11,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-06,2.99,12.07,5.98,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-07,2.99,12.07,5.98,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-08,2.99,12.07,5.98,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-09,2.74,12.07,5.49,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-10,2.74,12.07,5.49,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-11,7.34,9.69,4.99,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-12,8.51,11.54,5.49,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-13,8.86,12.03,5.70,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-14,8.86,12.03,5.70,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-15,8.86,12.03,5.70,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-16,3.10,12.03,6.20,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-17,9.53,12.27,6.79,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-18,8.59,11.96,5.22,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-19,8.59,11.96,5.22,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-20,8.42,12.07,4.77,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-21,8.42,12.07,4.77,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-22,8.42,12.07,4.77,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-23,8.72,12.20,5.25,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-24,9.09,12.40,5.78,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-25,9.29,12.30,6.27,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-26,3.36,12.30,6.72,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-27,9.00,12.30,5.70,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-28,9.00,12.30,5.70,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-29,9.00,12.30,5.70,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-30,9.00,12.30,5.70,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-03-31,2.57,12.30,5.13,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.15,145.24
2020-04-01,6.13,12.26,5.13,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-02,2.36,12.26,4.73,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-03,2.97,12.26,5.94,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-04,2.97,12.26,5.94,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-05,2.97,12.26,5.94,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-06,2.97,12.26,5.94,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-07,9.31,12.33,6.29,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-08,3.46,12.33,6.91,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-09,3.11,12.33,6.22,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
2020-04-10,9.00,12.27,5.73,2020,Phase Two,2020 | Phase Two,2,0,"149,350,000","5,650,000",4.25,"4,182,000","50,000,000","105,000,000","155,000,000","52,000,000","14,122",Xi Jinping,0.5,"1,412,000,000","14,687,744,162,801","10,409",2.49,0,6,38.84,1.14,151.82
